,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,286,Dcover Jcover-fuzz,time(Seconds):,1881,Jcover test verification on,time(Seconds):,304
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
GraphJet Core,com.twitter.graphjet.algorithms.counting.moment,MomentRecommendationInfo,,,,0,3,1.0,0,3,1.0,0,3,1.0
GraphJet Core,com.twitter.graphjet.algorithms.counting.moment,TopSecondDegreeByCountForMoment,,,,13,3,0.1875,13,3,0.1875,16,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.counting.moment,TopSecondDegreeByCountMomentRecsGenerator,,,,16,0,0.0,16,0,0.0,0,16,1.0
GraphJet Core,com.twitter.graphjet.algorithms.counting.moment,TopSecondDegreeByCountRequestForMoment,,,,0,10,1.0,0,10,1.0,0,10,1.0
GraphJet Core,com.twitter.graphjet.bipartite.optimizer,Optimizer,,,,53,12,0.18461538461538463,53,12,0.18461538461538463,65,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.optimizer,Optimizer.GraphOptimizerJob,n/a,n/a,Could not find file,6,0,0.0,6,0,0.0,6,0,0.0
GraphJet Core,com.twitter.graphjet.hashing,ArrayBasedIntToIntArrayMap,,,,15,45,0.75,14,46,0.7666666666666667,60,0,0.0
GraphJet Core,com.twitter.graphjet.hashing,SmallArrayBasedLongToDoubleMap.Pair,n/a,n/a,Could not find file,15,0,0.0,15,0,0.0,15,0,0.0
GraphJet Core,com.twitter.graphjet.hashing,IntArrayIterator,,,,2,13,0.8666666666666667,2,13,0.8666666666666667,15,0,0.0
GraphJet Core,com.twitter.graphjet.hashing,ArrayBasedIntToIntArrayMap.ReaderAccessibleInfo,n/a,n/a,Could not find file,0,4,1.0,0,4,1.0,4,0,0.0
GraphJet Core,com.twitter.graphjet.hashing,ArrayBasedLongToInternalIntBiMap.ReaderAccessibleInfo,n/a,n/a,Could not find file,0,5,1.0,0,5,1.0,5,0,0.0
GraphJet Core,com.twitter.graphjet.hashing,ShardedBigLongArray,,,,16,57,0.7808219178082192,4,69,0.9452054794520548,73,0,0.0
